date,new_repos
5/1/11,14462
6/1/11,63372
7/1/11,67106
8/1/11,70411
9/1/11,81138
10/1/11,82811
11/1/11,79908
12/1/11,77119
1/1/12,94318
2/1/12,107853
3/1/12,110055
4/1/12,104538
5/1/12,108315
6/1/12,109025
7/1/12,133737
8/1/12,124850
9/1/12,134281
10/1/12,161359
11/1/12,163969
12/1/12,148426
1/1/13,181702
2/1/13,180394
3/1/13,211038
4/1/13,212126
5/1/13,213862
6/1/13,260730
7/1/13,229675
8/1/13,219089
9/1/13,231057
10/1/13,264623
11/1/13,268423
12/1/13,244209
1/1/14,287737
2/1/14,293490
3/1/14,334969
4/1/14,326992
5/1/14,335407
6/1/14,314224
7/1/14,390881
8/1/14,351236
9/1/14,373534
10/1/14,462768
11/1/14,415820
12/1/14,430213
1/1/15,632896
2/1/15,591958
3/1/15,723477
4/1/15,683489
5/1/15,683646
6/1/15,673343
7/1/15,715669
8/1/15,763342
9/1/15,780642
10/1/15,839198
11/1/15,823200
12/1/15,747399
1/1/16,871084
2/1/16,961447
3/1/16,1105897
4/1/16,1065697
5/1/16,1272493
6/1/16,998492
7/1/16,1064377
8/1/16,1155478
9/1/16,1269018
10/1/16,1330731
11/1/16,1332471
12/1/16,1203043
1/1/17,1332449
2/1/17,1409833
3/1/17,1624053
4/1/17,1450938
5/1/17,1498320
6/1/17,1402300
7/1/17,1433728
8/1/17,1465082
9/1/17,1593901
10/1/17,1680882
11/1/17,1682017
12/1/17,1489813
1/1/18,1722178
2/1/18,1608265
3/1/18,1927102
4/1/18,1626798
5/1/18,1686100
6/1/18,1599505
7/1/18,1611091
8/1/18,1621029
9/1/18,1721140
10/1/18,1921705
11/1/18,1815630
12/1/18,1576436
1/1/19,1578160
2/1/19,1641352
3/1/19,1996348
4/1/19,1915714
5/1/19,1908518
6/1/19,1800741
7/1/19,1929324
8/1/19,2098830
9/1/19,2332831
10/1/19,2315768
11/1/19,2287119
12/1/19,2102671
1/1/20,2254861
2/1/20,2356235
3/1/20,2879222
4/1/20,2825202
5/1/20,2959968
6/1/20,2980038
7/1/20,2787268
8/1/20,2490556
9/1/20,2802539
10/1/20,2924887
11/1/20,2807635
12/1/20,2766999
1/1/21,3019269
2/1/21,2812029
3/1/21,3224019
4/1/21,3288990
5/1/21,2947347
6/1/21,3361864
7/1/21,3851841
8/1/21,3849746
9/1/21,3536825
10/1/21,1548428
11/1/21,3532204
12/1/21,3426561
1/1/22,3763650
2/1/22,3446002
3/1/22,3974283
4/1/22,3750837
5/1/22,3857964
6/1/22,3605169
7/1/22,3751713
8/1/22,4234486
9/1/22,4840170
10/1/22,7504637
11/1/22,4342912
12/1/22,3977856
1/1/23,4120403
2/1/23,4231335
3/1/23,4584944
4/1/23,4215499
5/1/23,4427388
6/1/23,4559906
7/1/23,4453281
8/1/23,4390301
9/1/23,4682642
10/1/23,4824588
11/1/23,4447153
12/1/23,3947102
1/1/24,4554832
2/1/24,4564475
3/1/24,5058172
4/1/24,4632080
5/1/24,4839017
6/1/24,4626454
7/1/24,4813901
8/1/24,4850893
9/1/24,5173516
10/1/24,5309736
11/1/24,4878820
12/1/24,4711114
1/1/25,4944391
2/1/25,5088336
3/1/25,3285294
