date,predicted_repos,lower_ci,upper_ci,actual_repos,diff,percent_diff,diff_ma7,cum_actual,cum_predicted,cum_diff,cum_percent
2023-04-19,102296.43879705746,-274950.34437408065,479543.22196819563,161921,59624.56120294254,58.28605756377282,52436.124435095735,20113708,16888232.557960253,3225475.442039747,19.098952071923133
2023-04-20,101155.31096360042,-279091.9272409321,481402.54916813294,154082,52926.68903639958,52.32220486717167,52303.10288029137,20267790,16989387.868923854,3278402.131076146,19.296764288210973
2023-04-21,87554.51015698523,-295580.57375788374,470689.59407185414,140747,53192.48984301477,60.75356911670301,52154.224182629856,20408537,17076942.37908084,3331594.6209191605,19.509315818740163
2023-04-22,68392.51513035328,-317554.9288636081,454339.95912431466,117186,48793.48486964672,71.34331114544973,52231.2026278255,20525723,17145334.89421119,3380388.1057888083,19.71608094356987
2023-04-23,72937.36054960135,-315769.3628681315,461644.0839673341,120553,47615.63945039865,65.28292097712728,52145.181073021144,20646276,17218272.254760794,3428003.7452392057,19.90910408732429
2023-04-24,101819.12803483842,-289607.476218743,493245.73228841985,147701,45881.87196516158,45.06213405153366,52546.15951821678,20793977,17320091.382795632,3473885.617204368,20.056970488360374
2023-04-25,100489.31797278533,-293626.2167075822,494604.85265315283,158073,57583.68202721467,57.30328674616896,54080.423677698134,20952050,17420580.70076842,3531469.2992315814,20.271823080362694
2023-04-26,99523.58968068799,-297808.6985992655,496855.87796064146,158546,59022.41031931201,59.30494519809808,55638.259265750916,21110596,17520104.290449105,3590491.709550895,20.493552150304335
2023-04-27,98382.46184723095,-301994.97380392347,498759.8974983854,154116,55733.53815276905,56.64987143675314,55956.95199666084,21264712,17618486.752296336,3646225.247703664,20.695450744249797
2023-04-28,84781.66104061576,-318530.39073345676,488093.7128146883,148714,63932.338959384244,75.40821703028044,54856.78758471362,21413426,17703268.41333695,3710157.5866630487,20.957472371982796
2023-04-29,65619.6660139838,-340552.83786482306,471792.1698927907,125318,59698.333986016194,90.9762844164648,54134.48031562355,21538744,17768888.079350933,3769855.9206490666,21.21604854402782
2023-04-30,70164.51143323188,-338816.2462973739,479145.26916383766,120011,49846.48856676812,71.04230835299373,53881.17304653347,21658755,17839052.590784166,3819702.409215834,21.412025048847777
2023-05-01,99046.27891846895,-312703.95395253354,510796.5117894714,137227,38180.721081531054,38.54836496478575,53878.00863458625,21795982,17938098.869702633,3857883.1302973665,21.506644368056826
2023-05-02,97716.46885641586,-316772.747401909,512205.6851147406,150244,52527.53114358414,53.75504432192271,53741.272794067605,21946226,18035815.33855905,3910410.66144095,21.68136337635273
2023-05-03,96750.74056431852,-320996.1830812027,514497.66420983966,154000,57249.25943568148,59.171908247692414,53668.96552497753,22100226,18132566.07912337,3967659.9208766297,21.881403346682017
2023-05-04,95609.61273086148,-325226.63926450914,516445.8647262321,151321,55711.38726913852,58.269650590432356,54254.94397017317,22251547,18228175.69185423,4023371.308145769,22.072265355351632
2023-05-05,82008.81192424629,-341808.1993840117,505825.8232325043,144984,62975.188075753715,76.79075772238423,56462.922415368805,22396531,18310184.503778476,4086346.4962215237,22.31734199826478
2023-05-06,62846.816897614335,-363878.0404366832,489571.6742319119,122039,59192.183102385665,94.18485457874097,56845.75800342159,22518570,18373031.320676092,4145538.679323908,22.56317211335032
2023-05-07,67391.6623168624,-362189.6796028458,496973.00423657056,121340,53948.33768313759,80.05194682612675,56783.450734331505,22639910,18440422.982992955,4199487.017007045,22.773268383703048
2023-05-08,96273.42980209948,-336126.20708355086,528673.0666877498,149910,53636.570197900524,55.71274473980655,57699.14346524144,22789820,18536696.412795056,4253123.587204944,22.94434505745696
2023-05-09,94943.61974004639,-340244.2572280141,530131.496708107,150151,55207.380259953614,58.14754104710801,58115.40762472279,22939971,18631640.032535102,4308330.967464898,23.12373446428531
