date,new_repos
12/21/19,51061
12/22/19,50446
12/23/19,65361
12/24/19,60481
12/25/19,53095
12/26/19,61090
12/27/19,60372
12/28/19,48668
12/29/19,48309
12/30/19,62069
12/31/19,50351
1/1/20,40560
1/2/20,66324
1/3/20,69679
1/4/20,55925
1/5/20,54884
1/6/20,75466
1/7/20,82143
1/8/20,85060
1/9/20,85566
1/10/20,76931
1/11/20,57517
1/12/20,58722
1/13/20,83021
1/14/20,86131
1/15/20,85354
1/16/20,85062
1/17/20,78788
1/18/20,60046
1/19/20,62380
1/20/20,81497
1/21/20,84774
1/22/20,84697
1/23/20,83110
1/24/20,72460
1/25/20,56590
1/26/20,59953
1/27/20,84373
1/28/20,88484
1/29/20,90784
1/30/20,83363
1/31/20,78562
2/1/20,63036
2/2/20,63663
2/3/20,86703
2/4/20,89247
2/5/20,90456
2/6/20,87785
2/7/20,83258
2/8/20,65337
2/9/20,67097
2/10/20,93296
2/11/20,91306
2/12/20,93007
2/13/20,91153
2/14/20,80738
2/15/20,64838
2/16/20,69053
2/17/20,89859
2/18/20,95993
2/19/20,94440
2/20/20,88279
2/21/20,83952
2/22/20,67546
2/23/20,68286
2/24/20,91751
2/25/20,88571
2/26/20,100202
2/27/20,90667
2/28/20,85615
2/29/20,71002
3/1/20,67312
3/2/20,94511
3/3/20,98434
3/4/20,91828
3/5/20,91555
3/6/20,88442
3/7/20,70180
3/8/20,69619
3/9/20,95929
3/10/20,95716
3/11/20,94509
3/12/20,90464
3/13/20,79754
3/14/20,69304
3/15/20,75133
3/16/20,95035
3/17/20,91504
3/18/20,92279
3/19/20,92582
3/20/20,88059
3/21/20,78023
3/22/20,82182
3/23/20,100468
3/24/20,101542
3/25/20,103273
3/26/20,103568
3/27/20,98893
3/28/20,88154
3/29/20,91224
3/30/20,110931
3/31/20,237069
4/1/20,104869
4/2/20,101851
4/3/20,95102
4/4/20,87285
4/5/20,90301
4/6/20,102329
4/7/20,106049
4/8/20,106333
4/9/20,101770
4/10/20,93444
4/11/20,82673
4/12/20,83888
4/13/20,99343
4/14/20,99975
4/15/20,100074
4/16/20,98141
4/17/20,96213
4/18/20,84798
4/19/20,86063
4/20/20,100383
4/21/20,100510
4/22/20,100049
4/23/20,96218
4/24/20,94461
4/25/20,82807
4/26/20,87591
4/27/20,100184
4/28/20,99566
4/29/20,98867
4/30/20,95640
5/1/20,90013
5/2/20,82989
5/3/20,84435
5/4/20,97818
5/5/20,99747
5/6/20,103771
5/7/20,99182
5/8/20,98850
5/9/20,84626
5/10/20,83189
5/11/20,106151
5/12/20,109513
5/13/20,110360
5/14/20,105472
5/15/20,102200
5/16/20,87931
5/17/20,93220
5/18/20,134040
5/19/20,121964
