date,total_events,new_repos
2023-07-22,393706,135584
2023-07-23,381295,132743
2023-07-24,542539,166638
2023-07-25,512881,157919
2023-07-26,516075,164964
2023-07-27,509804,162691
2023-07-28,495078,156611
2023-07-29,362667,127998
2023-07-30,359196,129140
2023-07-31,538792,161607
2023-08-01,549368,165546
2023-08-02,512868,164670
2023-08-03,527112,160446
2023-08-04,475603,153422
2023-08-05,373205,133808
2023-08-06,357961,127626
2023-08-07,538119,159787
2023-08-08,532285,166073
2023-08-09,511893,159272
2023-08-10,506458,159212
2023-08-11,485628,150989
2023-08-12,363664,127148
2023-08-13,359204,125344
2023-08-14,527341,154389
2023-08-15,497578,155351
2023-08-16,516876,166646
2023-08-17,523303,168239
2023-08-18,488527,154729
2023-08-19,364944,130470
2023-08-20,361620,128271
2023-08-21,559042,161930
2023-08-22,546084,175443
2023-08-23,526160,167310
2023-08-24,555580,177856
2023-08-25,528640,168968
2023-08-26,380975,138500
2023-08-27,377870,134971
2023-08-28,558436,165961
2023-08-29,547564,175839
2023-08-30,554976,176330
2023-08-31,517901,165607
2023-09-01,542788,163487
2023-09-02,364981,129206
2023-09-03,364372,131307
2023-09-04,594181,169977
2023-09-05,560087,175349
2023-09-06,554505,180475
2023-09-07,557172,183233
2023-09-08,545095,180602
2023-09-09,401442,145656
2023-09-10,400100,140358
2023-09-11,614341,184851
2023-09-12,599536,191523
2023-09-13,591379,193961
2023-09-14,581083,187494
2023-09-15,547409,176176
2023-09-16,402778,140868
2023-09-17,386713,137972
2023-09-18,602826,174472
2023-09-19,587864,191866
2023-09-20,589694,193109
2023-09-21,593381,194213
2023-09-22,557729,175479
2023-09-23,416374,141679
2023-09-24,417704,148706
2023-09-25,615254,183704
2023-09-26,601693,192094
2023-09-27,563985,183866
2023-09-28,542190,177036
2023-09-29,543024,173563
2023-09-30,408575,147806
2023-10-01,490997,142400
2023-10-02,608264,175759
2023-10-03,625015,184491
2023-10-04,615887,192288
2023-10-05,587757,187270
2023-10-06,556673,178061
2023-10-07,441444,148380
2023-10-08,430727,148193
2023-10-09,602278,179235
2023-10-10,593754,185245
2023-10-11,620571,183679
2023-10-12,571691,180486
2023-10-13,542587,168444
2023-10-14,408290,143910
2023-10-15,405566,143076
2023-10-16,613755,177375
2023-10-17,607406,189340
2023-10-18,621742,186217
2023-10-19,602045,177468
2023-10-20,539238,166420
2023-10-21,399688,138120
2023-10-22,403787,141815
2023-10-23,596126,167858
2023-10-24,583142,175712
2023-10-25,608295,181395
2023-10-26,610463,189773
2023-10-27,562850,173704
2023-10-28,413078,142085
2023-10-29,399450,139069
2023-10-30,630040,185392
2023-10-31,590506,185461
2023-11-01,604510,179677
2023-11-02,566471,178666
2023-11-03,535073,172897
2023-11-04,410871,143444
2023-11-05,406291,142959
2023-11-06,613805,180164
2023-11-07,596521,185597
2023-11-08,558626,173157
2023-11-09,572687,176203
2023-11-10,547882,167953
2023-11-11,393129,129021
2023-11-12,383334,125723
2023-11-13,587672,168050
2023-11-14,545680,167799
2023-11-15,578601,175502
2023-11-16,567988,177838
2023-11-17,528331,166143
2023-11-18,390404,136361
2023-11-19,378567,132127
2023-11-20,588452,168657
2023-11-21,578210,179163
2023-11-22,549123,173252
2023-11-23,528619,171285
2023-11-24,490318,161385
2023-11-25,380893,133943
2023-11-26,374651,133693
2023-11-27,523663,157209
2023-11-28,585873,169803
2023-11-29,566537,170544
2023-11-30,483163,146738
2023-12-01,496978,141775
2023-12-02,343639,118158
2023-12-03,255887,87976
2023-12-04,415080,112920
2023-12-05,574506,176210
2023-12-06,474100,145003
2023-12-07,401980,124741
2023-12-08,386438,121145
2023-12-09,383707,135960
2023-12-10,391650,137935
2023-12-11,563509,160329
2023-12-12,558169,176724
2023-12-13,565980,177099
2023-12-14,576104,169886
2023-12-15,497547,153906
2023-12-16,367110,128423
2023-12-17,375760,130851
2023-12-18,578731,164670
2023-12-19,549576,167198
2023-12-20,523891,162353
2023-12-21,498592,157636
2023-12-22,434544,139691
2023-12-23,324836,117232
2023-12-24,300203,109174
2023-12-25,375943,112922
2023-12-26,394791,139467
2023-12-27,427432,142898
2023-12-28,421990,141533
2023-12-29,380877,127809
2023-12-30,328142,113821
2023-12-31,299654,97961
2024-01-01,397001,105779
2024-01-02,474220,154213
2024-01-03,493544,160046
2024-01-04,512381,163662
2024-01-05,487207,152373
2024-01-06,373050,134267
2024-01-07,367053,133201
2024-01-08,565273,169215
2024-01-09,560145,175448
2024-01-10,581434,176608
2024-01-11,586580,176129
2024-01-12,503254,160462
2024-01-13,374372,135864
2024-01-14,370377,133515
2024-01-15,553099,163026
2024-01-16,545431,172504
2024-01-17,546757,173459
2024-01-18,557544,179004
2024-01-19,532702,165594
2024-01-20,403608,141298
2024-01-21,401127,142124
2024-01-22,590202,172158
2024-01-23,575085,181977
2024-01-24,547223,175847
2024-01-25,553233,172761
2024-01-26,509965,160008
2024-01-27,411395,141552
2024-01-28,419004,143215
2024-01-29,593391,176293
2024-01-30,576268,185125
2024-01-31,594973,188368
2024-02-01,594400,172310
2024-02-02,552372,165620
2024-02-03,425660,143481
2024-02-04,409685,147452
2024-02-05,601888,176889
2024-02-06,590759,188671
2024-02-07,584609,187069
2024-02-08,517128,166165
2024-02-09,510340,163105
2024-02-10,381122,135870
2024-02-11,393195,136934
2024-02-12,557531,165685
2024-02-13,563654,185228
2024-02-14,562385,179259
2024-02-15,587523,181234
2024-02-16,649522,171164
2024-02-17,520431,149714
2024-02-18,506142,149007
2024-02-19,721385,185908
2024-02-20,700753,187046
2024-02-21,720024,188063
2024-02-22,708065,184835
2024-02-23,648642,165799
2024-02-24,492252,142836
2024-02-25,558432,163228
2024-02-26,701646,177212
2024-02-27,740411,200606
2024-02-28,748882,201462
2024-02-29,740554,197223
2024-03-01,718548,184100
2024-03-02,558400,162550
2024-03-03,535343,159978
2024-03-04,776059,193827
2024-03-05,748491,199495
2024-03-06,763498,200775
2024-03-07,749092,193701
2024-03-08,697248,178130
2024-03-09,519968,151653
2024-03-10,528332,154920
2024-03-11,764258,191967
2024-03-12,776666,210674
2024-03-13,736666,191833
2024-03-14,715699,188149
2024-03-15,724446,185147
2024-03-16,553468,150784
2024-03-17,539042,154466
2024-03-18,798293,194379
2024-03-19,796886,204760
2024-03-20,773926,195291
2024-03-21,750484,194971
2024-03-22,711956,180574
2024-03-23,552501,151433
2024-03-24,534300,151135
2024-03-25,752719,179887
2024-03-26,758298,192252
2024-03-27,732839,189789
2024-03-28,704960,180199
2024-03-29,618556,158122
2024-03-30,517090,143066
2024-03-31,498391,142876
2024-04-01,738479,168620
2024-04-02,723554,186029
2024-04-03,744608,184604
2024-04-04,756149,184823
2024-04-05,702861,170757
2024-04-06,534508,146210
2024-04-07,541170,149424
2024-04-08,748915,174714
2024-04-09,730516,177736
2024-04-10,700635,168571
2024-04-11,722481,169192
2024-04-12,686769,164039
2024-04-13,518443,136355
2024-04-14,542366,139553
2024-04-15,773081,176930
2024-04-16,763152,190890
2024-04-17,770773,184259
2024-04-18,912013,178610
2024-04-19,869773,170810
2024-04-20,609024,146984
2024-04-21,564382,147455
2024-04-22,814514,174988
2024-04-23,911945,183236
2024-04-24,885458,188629
2024-04-25,772449,183015
2024-04-26,755417,169995
2024-04-27,552713,143430
2024-04-28,526916,145248
2024-04-29,779399,172356
2024-04-30,730742,181286
2024-05-01,709741,162019
2024-05-02,776244,174581
2024-05-03,672857,163683
2024-05-04,499402,138899
2024-05-05,603765,139697
2024-05-06,789209,176124
2024-05-07,776035,187022
2024-05-08,891926,179684
2024-05-09,717434,179199
2024-05-10,717418,168863
2024-05-11,496989,143705
2024-05-12,579860,140058
2024-05-13,793905,178807
2024-05-14,761985,187824
2024-05-15,780407,185287
2024-05-16,783792,183582
2024-05-17,686534,176695
2024-05-18,556138,146739
2024-05-19,544843,148795
2024-05-20,898465,184105
2024-05-21,892871,188868
2024-05-22,826427,188538
2024-05-23,847979,183266
2024-05-24,628614,154600
2024-05-25,499831,145840
2024-05-26,528122,146195
2024-05-27,778430,183874
2024-05-28,685984,180193
2024-05-29,758165,185523
2024-05-30,743686,184525
2024-05-31,764741,173173
2024-06-01,626113,143757
2024-06-02,557503,148254
2024-06-03,769035,175481
2024-06-04,848488,186872
2024-06-05,864303,194692
2024-06-06,758917,182819
2024-06-07,687877,172726
2024-06-08,546798,146556
2024-06-09,499526,145832
2024-06-10,756498,179151
2024-06-11,622438,192375
2024-06-12,623083,186551
2024-06-13,601074,183774
2024-06-14,562306,169643
2024-06-15,429164,142122
2024-06-16,437829,132920
2024-06-17,633132,159016
2024-06-18,646155,176845
2024-06-19,612056,183680
2024-06-20,600769,182028
2024-06-21,570931,169497
2024-06-22,441598,143025
2024-06-23,479773,147010
2024-06-24,664039,182350
2024-06-25,619050,189668
2024-06-26,626055,185717
2024-06-27,606274,180717
2024-06-28,556224,167517
2024-06-29,435761,138278
2024-06-30,435045,139976
2024-07-01,667513,173947
2024-07-02,630979,186545
2024-07-03,625184,184772
2024-07-04,568350,178955
2024-07-05,526688,166538
2024-07-06,409960,138460
2024-07-07,406847,138905
2024-07-08,626905,177592
2024-07-09,616019,187709
2024-07-10,629075,183207
2024-07-11,587416,182144
2024-07-12,540233,168711
2024-07-13,413504,142318
2024-07-14,414732,144927
2024-07-15,621656,178483
2024-07-16,601284,184271
2024-07-17,589396,184434
2024-07-18,568568,179942
2024-07-19,530826,165776
2024-07-20,413165,142503
2024-07-21,401919,136344
2024-07-22,614490,169339
2024-07-23,587029,176905
2024-07-24,596192,182043
2024-07-25,607309,182011
2024-07-26,545173,167511
2024-07-27,422632,139642
2024-07-28,422656,143375
2024-07-29,624685,181054
2024-07-30,603676,189407
2024-07-31,588272,183346
2024-08-01,598847,171703
2024-08-02,554046,169323
2024-08-03,416119,142984
2024-08-04,399666,139447
2024-08-05,614976,175220
2024-08-06,606730,183870
2024-08-07,598998,183650
2024-08-08,597440,185518
2024-08-09,544512,170060
2024-08-10,414557,143478
2024-08-11,417377,146854
2024-08-12,614365,179273
2024-08-13,577201,181510
2024-08-14,561910,172154
2024-08-15,547902,170698
2024-08-16,545339,168447
2024-08-17,424334,140488
2024-08-18,411583,138754
2024-08-19,614079,174332
2024-08-20,585839,183653
2024-08-21,594262,188670
2024-08-22,587560,185436
2024-08-23,559236,176914
2024-08-24,424842,148525
2024-08-25,420066,149932
2024-08-26,644104,182804
2024-08-27,591399,190644
2024-08-28,627804,196797
2024-08-29,596113,187549
2024-08-30,576626,180619
2024-08-31,456496,156953
2024-09-01,464732,148886
2024-09-02,663724,189749
2024-09-03,635304,202524
2024-09-04,646000,204791
2024-09-05,642962,197015
2024-09-06,618571,183155
2024-09-07,437057,150113
2024-09-08,444906,152816
2024-09-09,669136,196618
2024-09-10,617570,194163
2024-09-11,634432,196491
2024-09-12,670024,204457
2024-09-13,590125,186905
2024-09-14,459588,159666
2024-09-15,444285,155438
2024-09-16,670947,192137
2024-09-17,640462,197031
2024-09-18,671667,207081
2024-09-19,639416,206161
2024-09-20,603169,192372
2024-09-21,479069,164323
2024-09-22,470322,164861
2024-09-23,697785,204582
2024-09-24,679590,214781
2024-09-25,664029,213516
2024-09-26,655307,210205
2024-09-27,621472,195665
2024-09-28,464881,163146
2024-09-29,462078,158103
2024-09-30,680793,204924
2024-10-01,682834,202609
2024-10-02,613082,197664
2024-10-03,621249,195083
2024-10-04,594044,189313
2024-10-05,469895,159048
2024-10-06,449884,156725
2024-10-07,678697,195283
2024-10-08,656661,205095
2024-10-09,631232,197188
2024-10-10,620751,191693
2024-10-11,652228,172242
2024-10-12,430783,142786
2024-10-13,446210,149844
2024-10-14,660292,191652
2024-10-15,639051,197077
2024-10-16,657519,202364
2024-10-17,637427,202778
2024-10-18,603201,191525
2024-10-19,475292,160973
2024-10-20,470853,161615
2024-10-21,682417,198708
2024-10-22,658231,205214
2024-10-23,661171,205350
2024-10-24,654719,202042
2024-10-25,614028,186623
2024-10-26,444128,150133
2024-10-27,447549,150964
2024-10-28,700686,185884
2024-10-29,691150,197157
2024-10-30,669727,207668
2024-10-31,632851,184736
2024-11-01,640249,185045
2024-11-02,418256,139741
2024-11-03,425820,142446
2024-11-04,639885,184349
2024-11-05,632792,200423
2024-11-06,598541,190004
2024-11-07,590596,188508
2024-11-08,588126,181781
2024-11-09,455238,157302
2024-11-10,467773,163699
2024-11-11,620800,184162
2024-11-12,631134,198529
2024-11-13,609440,191008
2024-11-14,588138,184151
2024-11-15,579685,173125
2024-11-16,441287,150719
2024-11-17,450558,152661
2024-11-18,631594,184977
2024-11-19,619967,186188
2024-11-20,599596,184568
2024-11-21,591775,185873
2024-11-22,555046,176010
2024-11-23,441785,150754
2024-11-24,438032,150147
2024-11-25,631316,181692
2024-11-26,606120,185926
2024-11-27,575108,181626
2024-11-28,582481,188375
2024-11-29,544727,181159
2024-11-30,444680,155250
2024-12-01,512113,166788
2024-12-02,656152,191836
2024-12-03,670073,205110
2024-12-04,656161,199866
2024-12-05,607038,187478
2024-12-06,593102,178014
2024-12-07,471515,159257
2024-12-08,484727,161801
2024-12-09,673228,187168
2024-12-10,636631,194887
2024-12-11,618265,189562
2024-12-12,501663,154957
2024-12-13,535643,165973
2024-12-14,435164,148065
2024-12-15,440396,147777
2024-12-16,612356,171518
2024-12-17,586174,179491
2024-12-18,586570,176616
2024-12-19,591037,178811
2024-12-20,555999,165247
2024-12-21,399334,135620
2024-12-22,412297,140151
2024-12-23,559408,161516
2024-12-24,473036,156007
2024-12-25,388243,132526
2024-12-26,453913,155237
2024-12-27,454585,150145
2024-12-28,393512,136188
2024-12-29,389431,132969
2024-12-30,495438,152597
2024-12-31,412348,131110
